Timestamp,Software,CPU_Total_Pct,RAM_Total_MB,Core_0_Pct,Core_1_Pct,Core_2_Pct,Core_3_Pct,Core_4_Pct,Core_5_Pct,Core_6_Pct,Core_7_Pct,Core_8_Pct,Core_9_Pct,Core_10_Pct,Core_11_Pct,Core_12_Pct,Core_13_Pct,Core_14_Pct,Core_15_Pct
12:33:48,ROBOGUIDE,98.9,443.11,34.3,23.9,44.1,36.8,43.5,23.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,7.5
12:33:49,ROBOGUIDE,103.8,443.3,31.4,20.9,34.3,20.9,40.3,25.4,7.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
12:33:50,ROBOGUIDE,96.4,443.42,35.8,39.4,43.5,37.9,23.9,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
12:33:51,ROBOGUIDE,103.6,443.55,14.7,35.3,30.9,23.9,34.3,14.9,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1
12:33:52,ROBOGUIDE,94.8,443.57,30.6,42.4,25.8,28.8,22.7,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
12:33:53,ROBOGUIDE,109.4,443.58,41.8,42.9,36.8,32.8,16.4,16.4,3.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,9.0
12:33:54,ROBOGUIDE,82.5,443.58,32.4,31.8,16.7,33.3,12.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,7.6
12:33:55,ROBOGUIDE,110.5,443.58,40.3,31.8,27.3,18.2,15.2,21.2,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6
12:33:56,ROBOGUIDE,85.6,443.59,20.6,28.4,19.1,32.8,23.9,17.9,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
12:33:58,ROBOGUIDE,90.4,443.59,23.9,25.8,30.3,22.7,10.6,10.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1
12:33:59,ROBOGUIDE,90.8,443.59,26.5,30.9,33.3,41.8,22.4,10.6,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6
12:34:00,ROBOGUIDE,87.4,443.59,42.9,43.3,35.8,34.3,32.4,26.9,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9
12:34:01,ROBOGUIDE,102.4,443.59,40.6,37.3,35.8,27.3,19.7,30.3,9.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
12:34:02,ROBOGUIDE,92.3,443.59,29.6,34.8,35.8,27.3,12.1,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6
12:34:03,ROBOGUIDE,113.0,443.6,39.1,29.4,27.9,34.8,29.9,19.4,10.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6
12:34:04,ROBOGUIDE,82.3,443.6,32.9,26.5,26.5,27.9,14.9,10.4,4.5,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4
12:34:05,ROBOGUIDE,82.8,443.6,17.4,28.8,20.9,23.5,19.7,7.6,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
12:34:06,ROBOGUIDE,83.2,443.61,30.0,28.4,24.2,27.3,22.7,9.1,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
12:34:07,ROBOGUIDE,84.4,443.61,23.5,22.7,22.7,37.9,15.2,12.1,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6
12:34:08,ROBOGUIDE,66.5,443.61,21.7,26.9,25.0,22.4,13.6,4.5,3.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
12:34:09,ROBOGUIDE,66.4,443.61,40.8,28.4,42.6,21.2,20.9,17.9,10.4,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5
12:34:10,ROBOGUIDE,84.3,443.61,31.0,24.2,34.3,33.3,25.8,22.7,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
12:34:11,ROBOGUIDE,92.2,443.61,15.2,39.4,16.7,30.3,18.2,12.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1
12:34:12,ROBOGUIDE,103.1,443.61,23.9,26.9,30.9,19.4,31.3,14.9,5.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
12:34:13,ROBOGUIDE,92.4,443.61,27.5,29.9,26.9,30.9,26.9,13.2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.0
12:34:14,ROBOGUIDE,94.1,443.87,35.2,31.3,32.8,22.1,35.8,11.9,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,7.5
12:34:15,ROBOGUIDE,117.0,443.9,32.8,23.9,34.3,18.8,20.9,13.4,11.9,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
12:34:16,ROBOGUIDE,93.6,443.88,24.6,25.4,23.9,32.8,14.9,6.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
12:34:17,ROBOGUIDE,95.5,443.88,35.6,29.4,26.9,23.9,19.4,13.4,4.5,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,10.4
