Timestamp,Software,CPU_Total_Pct,RAM_Total_MB,Core_0_Pct,Core_1_Pct,Core_2_Pct,Core_3_Pct,Core_4_Pct,Core_5_Pct,Core_6_Pct,Core_7_Pct
21:56:58,ROBOGUIDE,28.6,303.93,26.5,27.9,14.7,10.4,0.0,1.5,0.0,9.0
21:56:59,ROBOGUIDE,78.2,303.93,43.3,34.3,47.1,31.3,20.6,20.6,0.0,7.6
21:57:00,ROBOGUIDE,87.2,303.93,32.4,21.7,26.9,17.9,31.3,17.9,0.0,7.5
21:57:01,ROBOGUIDE,42.1,303.93,22.1,17.1,32.4,7.6,7.5,1.5,0.0,7.6
21:57:02,ROBOGUIDE,43.5,303.94,40.3,32.9,33.8,21.4,6.1,4.5,0.0,9.0
21:57:03,ROBOGUIDE,43.6,304.03,30.0,13.4,22.1,14.7,11.9,7.4,0.0,7.5
21:57:04,ROBOGUIDE,67.7,304.55,35.3,20.6,17.9,9.0,12.1,10.6,0.0,7.5
21:57:05,ROBOGUIDE,69.3,305.02,30.9,24.3,19.4,10.4,18.8,13.2,7.6,12.1
21:57:06,ROBOGUIDE,79.8,305.48,31.3,15.2,24.2,14.9,16.7,1.5,0.0,7.4
21:57:07,ROBOGUIDE,69.2,305.91,28.8,7.5,17.9,7.6,17.9,9.0,4.5,9.1
21:57:08,ROBOGUIDE,75.0,306.32,28.6,11.8,22.1,10.4,20.6,9.0,0.0,7.5
21:57:09,ROBOGUIDE,75.0,306.54,35.2,10.4,32.8,17.9,14.7,9.1,0.0,7.6
21:57:10,ROBOGUIDE,70.5,306.95,45.7,23.2,19.4,16.7,9.0,4.4,0.0,6.0
21:57:11,ROBOGUIDE,90.6,307.35,35.2,22.1,39.4,29.4,21.1,11.6,0.0,7.5
21:57:12,ROBOGUIDE,75.0,307.79,26.1,14.7,16.4,11.9,28.4,13.6,0.0,7.5
21:57:13,ROBOGUIDE,68.8,308.18,33.8,14.7,19.4,17.9,16.2,4.5,0.0,8.8
21:57:14,ROBOGUIDE,65.8,308.56,27.1,13.2,23.2,9.0,37.7,19.1,0.0,9.0
21:57:15,ROBOGUIDE,73.4,308.92,33.8,19.1,14.9,14.7,26.5,9.0,0.0,6.1
21:57:16,ROBOGUIDE,82.6,309.27,51.4,25.8,31.8,24.2,15.2,9.1,1.5,6.0
21:57:17,ROBOGUIDE,82.2,309.66,47.8,18.6,26.1,10.4,19.4,11.6,3.0,0.0
21:57:18,ROBOGUIDE,88.8,310.06,53.5,23.2,22.4,13.2,20.6,9.0,0.0,4.5
21:57:19,ROBOGUIDE,93.0,310.43,53.6,24.3,26.9,18.2,15.2,10.6,0.0,7.5
21:57:20,ROBOGUIDE,76.0,310.81,39.4,31.4,29.4,19.4,18.8,7.4,0.0,7.5
21:57:21,ROBOGUIDE,71.6,311.16,44.3,11.8,10.1,17.4,10.4,2.9,0.0,6.0
21:57:23,ROBOGUIDE,84.2,311.44,40.3,40.3,42.9,25.4,17.6,21.2,0.0,6.0
21:57:24,ROBOGUIDE,69.4,311.73,41.2,15.9,18.2,9.0,10.6,7.5,6.1,9.0
21:57:25,ROBOGUIDE,61.5,312.02,35.7,22.9,23.5,18.8,6.0,4.5,0.0,4.5
21:57:26,ROBOGUIDE,73.4,312.36,41.2,20.3,31.9,14.5,9.1,13.2,0.0,7.6
21:57:27,ROBOGUIDE,76.6,312.65,42.4,28.6,28.4,15.2,6.0,3.0,0.0,6.0
21:57:28,ROBOGUIDE,81.3,312.96,37.7,16.4,20.9,11.8,13.4,6.0,0.0,6.1
21:57:29,ROBOGUIDE,87.3,313.31,44.8,40.0,22.7,18.2,16.2,18.2,0.0,6.0
21:57:30,ROBOGUIDE,36.1,313.36,22.7,13.4,6.1,4.5,1.5,1.5,0.0,6.1
21:57:31,ROBOGUIDE,63.3,313.52,33.3,25.7,27.5,14.9,11.9,4.4,0.0,7.5
21:57:32,ROBOGUIDE,93.0,313.8,45.7,22.4,44.9,19.7,11.9,13.2,0.0,7.6
21:57:33,ROBOGUIDE,93.0,314.03,42.0,22.4,30.0,10.4,19.4,4.4,0.0,9.0
21:57:34,ROBOGUIDE,76.7,314.27,34.8,25.0,14.9,10.4,23.5,13.4,3.0,7.6
21:57:35,ROBOGUIDE,57.3,314.5,30.0,13.2,13.4,15.2,22.1,4.5,0.0,7.5
21:57:36,ROBOGUIDE,78.1,314.72,40.8,13.6,26.9,11.9,19.7,7.5,0.0,6.1
21:57:37,ROBOGUIDE,73.8,314.94,40.6,7.5,23.2,7.6,19.4,6.1,0.0,6.0
21:57:38,ROBOGUIDE,77.7,315.16,36.8,16.4,14.9,7.5,11.9,8.8,0.0,7.5
21:57:39,ROBOGUIDE,69.0,315.39,42.3,10.6,23.9,4.5,20.9,11.8,0.0,6.1
